"General", "Aviation"
"AT72", "TPC"
"AT72", "TUX"
"AT72", "UTA"
"AT72", "UTN"
"AT72", "VTA"
"AT72", "WON"
"D328", "AUL"
"D328", "BEE"
"D328", "EZE"
"D328", "ISK"
"D328", "RHE"
"D328", "SRK"
"D328", "WLC"
"DH8D", "ACA"
"DH8D", "AEE"
"DH8D", "AKX"
"DH8D", "ANG"
"DH8D", "ARE"
"DH8D", "ASA"
"DH8D", "AUA"
"DH8D", "AUB"
"DH8D", "BBO"
"DH8D", "BBZ"
"DH8D", "BEE"
"DH8D", "BEL"
"DH8D", "BER"
"DH8D", "BTI"
"DH8D", "CTN"
"DH8D", "CTO"
"DH8D", "DTH"
"DH8D", "DWT"
"DH8D", "ECN"
"DH8D", "ELO"
"DH8D", "ETH"
"DH8D", "EXY"
"DH8D", "FFT"
"DH8D", "GAP"
"DH8D", "HIS"
"DH8D", "HYD"
"DH8D", "JJA"
"DH8D", "JZA"
"DH8D", "LAM"
"DH8D", "LGL"
"DH8D", "LOT"
"DH8D", "MAH"
"DH8D", "OAL"
"DH8D", "POE"
"DH8D", "QFA"
"DH8D", "QXE"
"DH8D", "SAT"
"DH8D", "SAU"
"DH8D", "SEJ"
"DH8D", "SRK"
"DH8D", "SYL"
"DH8D", "TCF"
"DH8D", "TYR"
"DH8D", "WIF"
"DH8D", "WJA"
"F50", "AVA"
"F50", "BCY"
"F50", "BTI"
"F50", "CRF"
"F50", "FXI"
"F50", "INC"
"F50", "KLC"
"F50", "KZR"
"F50", "MAS"
"F50", "MAV"
"F50", "NAF"
"F50", "SKX"
"F50", "SYA"
"F50", "VLM"
"JS41", "AAL"
"JS41", "AWE"
"JS41", "BRI"
"JS41", "ESY"
"JS41", "EZE"
"JS41", "HKG"
"JS41", "LAM"
"JS41", "NYT"
"JS41", "SAA"
"JS41", "SEH"
"JS41", "VNE"
"L410", "BCV"
"L410", "EST"
"L410", "HAX"
"L410", "KZN"
"L410", "LAF"
"L410", "LLI"
"L410", "MNX"
"L410", "NFA"
"L410", "OAO"
"L410", "PTK"
"L410", "SLD"
"L410", "VAA"
"SB20", "BLF"
"SB20", "BRX"
"SB20", "CFE"
"SB20", "DWT"
"SB20", "ETI"
"SB20", "EZE"
"SB20", "KRP"
"SB20", "LIL"
"SB20", "LOG"
"SB20", "MDV"
"SB20", "OLT"
"SB20", "POT"
"SB20", "SCW"
"SF34", "ATK"
"SF34", "CJC"
"SF34", "DNU"
"SF34", "EGF"
"SF34", "ELL"
"SF34", "EZA"
"SF34", "IGA"
"SF34", "JAC"
"SF34", "JBR"
"SF34", "LGA"
"SF34", "LOG"
"SF34", "MES"
"SF34", "NTJ"
"SF34", "OLT"
"SF34", "POT"
"SF34", "RHA"
"SF34", "SBM"
"SF34", "SGN"
"SF34", "SIL"
"SF34", "SLI"
"SF34", "UAL"
"SF34", "USA"
"SF34", "WST"
""
"Airliners"
"A319", "GAF"
"A320", "GHY"
"MD83", "GWI"
"MD83", "LBT"
"A306", "AAW"
"A306", "AHK"
"A306", "BCS"
"A306", "CES"
"A306", "CSN"
"A306", "DLH"
"A306", "ETD"
"A306", "FDX"
"A306", "IRA"
"A306", "IRM"
"A306", "JAL"
"A306", "KAC"
"A306", "KAL"
"A306", "KZU"
"A306", "LAA"
"A306", "MON"
"A306", "PIA"
"A306", "QTR"
"A306", "RJA"
"A306", "RZO"
"A306", "SUD"
"A306", "SVA"
"A306", "TAR"
"A306", "THA"
"A306", "THY"
"A306", "UAE"
"A306", "UPS"
"A310", "AIC"
"A310", "AME"
"A310", "FDX"
"A310", "KLM"
"A310", "TAP"
"A310", "UZB"
"A318", "AFR"
"A318", "AVA"
"A318", "BAW"
"A318", "LAN"
"A318", "LNE"
"A318", "MXA"
"A318", "RJA"
"A318", "ROT"
"A318", "SVW"
"A319", "AAF"
"A319", "AAW"
"A319", "AAY"
"A319", "ABQ"
"A319", "ACA"
"A319", "ADR"
"A319", "AEE"
"A319", "AFL"
"A319", "AFR"
"A319", "AHY"
"A319", "AMC"
"A319", "ASL"
"A319", "AUA"
"A319", "AVA"
"A319", "AWE"
"A319", "AXB"
"A319", "AZA"
"A319", "BAW"
